2018 Lexus GX 460 Luxury,"91,583 mi.","$34,988",Fair,Used
2018 Lexus GX 460 Luxury,"76,359 mi.","$33,899",Good,Used
2018 Lexus GX 460 Premium,"47,700 mi.","$30,795",Great,Used
2018 Lexus GX 460 Base,"108,760 mi.","$27,555",Good,Used
2018 Lexus GX 460 Base,"77,976 mi.","$30,995",Good,Used
2018 Lexus GX 460 Base,"56,718 mi.","$36,595",Good,Used
2018 Lexus GX 460 Base,"94,999 mi.","$32,997",Fair,Used
2018 Lexus GX 460 Luxury,"72,555 mi.","$34,000",Good,Used
2018 Lexus GX 460 GX 460 Premium 4WD,"111,071 mi.","$28,999",Fair,Used
2018 Lexus GX 460 460,"53,166 mi.","$35,471",Fair,Used
2018 Lexus GX 460 Base,"86,603 mi.","$26,690",Great,Used
2018 Lexus GX 460 460,"63,670 mi.","$32,526",Good,Used
2018 Lexus GX 460 460,"79,616 mi.","$30,990",Good,Used
2018 Lexus GX 460 Base,"57,957 mi.","$31,997",Good,Used
2018 Lexus GX 460 Luxury,"113,702 mi.","$26,999",Good,Used
2018 Lexus GX 460 Base,"43,638 mi.","$35,499",Good,Used
2018 Lexus GX 460 Premium 4WD,"68,328 mi.","$33,995",Good,Used
2018 Lexus GX 460 Base,"96,531 mi.","$26,516",Good,Used
2018 Lexus GX 460 Base,"125,652 mi.","$25,995",Good,Used
2018 Lexus GX 460 Base,"89,939 mi.","$28,495",Good,Used
2018 Lexus GX 460 Base,"51,359 mi.","$32,995",Good,Used
2018 Lexus GX 460 Base,"55,898 mi.","$29,900",Great,Used
2018 Lexus GX 460 Base,"61,455 mi.","$31,920",Good,Used
2018 Lexus GX 460 Luxury,"86,033 mi.","$32,999",Good,Used
2018 Lexus GX 460 460,"62,507 mi.","$33,994",Good,Used
2018 Lexus GX 460 460,"74,553 mi.","$33,999",Good,Used
2018 Lexus GX 460 Premium,"38,500 mi.","$32,995",Great,Used
2018 Lexus GX 460 Premium,"58,626 mi.","$30,700",Great,Used
2018 Lexus GX 460 Base,"95,249 mi.","$30,975",Good,Used
2018 Lexus GX 460 Base,"65,661 mi.","$34,986",Good,Used
2018 Lexus GX 460 Luxury,"83,531 mi.","$38,775",Good,Used
2018 Lexus GX 460 Base,"62,537 mi.","$34,998",Good,Used
2018 Lexus GX 460 Base,"90,816 mi.","$30,990",Good,Used
2018 Lexus GX 460 Base,"59,154 mi.","$35,680",Good,Used
2018 Lexus GX 460 Base,"41,630 mi.","$34,306",Good,Used
2018 Lexus GX 460 Base,"90,811 mi.","$29,988",Good,Used
2018 Lexus GX 460 Base,"94,549 mi.","$30,287",Good,Used
