Title,Miles,Price,Deal,Stock,Year,Make,Model,Sub_Model
2016 Lexus GX 460 Luxury,116873,22995,Good,Used,2016,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,85033,29663,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,80873,30277,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,114452,22744,Good,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Base,65631,32590,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Luxury,89957,30987,Great,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 460,60042,37781,Fair,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 460,84248,28000,Good,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 GX 460,133990,23668,Great,Used,2017,Lexus,GX 460 GX 460,Base
2017 Lexus GX 460 Base,88036,30995,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Luxury,57958,33889,None,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,81549,28393,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Luxury,118127,35995,Fair,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,91510,29995,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,98056,28898,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,81088,28982,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,65731,29799,Good,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Luxury,109819,31072,Fair,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,78749,29978,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,89679,25922,Great,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Base,52054,32000,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,70717,33874,Fair,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Luxury,101433,26700,Good,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,62133,31998,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,105310,24837,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,84108,29995,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,61876,33998,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,107687,27998,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,126808,29896,Fair,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Luxury,91031,30000,Good,Used,2017,Lexus,GX 460 Luxury,Luxury
2017 Lexus GX 460 Base,59581,31500,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,88676,27599,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,64438,31884,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,94745,26999,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,54439,30500,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base,73702,29590,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,95801,24372,Great,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Base,97067,26879,Good,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 460,119255,24995,Good,Used,2017,Lexus,GX 460 460,Base
2017 Lexus GX 460 Base,67635,27998,Great,Used,2017,Lexus,GX 460 Base,Base
2017 Lexus GX 460 Base AWD 4dr SUV,96347,28995,Good,Used,2017,Lexus,GX 460 Base AWD 4dr SUV,Base
2017 Lexus GX 460 GX 460,48927,27995,Good,Used,2017,Lexus,GX 460 GX 460,Base
2017 Lexus GX 460 460,103223,24598,Good,Used,2017,Lexus,GX 460 460,Base
